us-ak	tanf-s01	us-ak/regulation/2026-07-01-ak-atap-regulations	us-ak/regulation/aac/title-7/chapter-45/7 AAC 45.195	Mandatory filing unit.	Mandatory filing unit.
us-ak	tanf-s03	us-ak/regulation/2026-07-01-ak-atap-regulations	us-ak/regulation/aac/title-7/chapter-45/7 AAC 45.225	Living in home of caretaker relative.	Living in home of caretaker relative.
us-ak	tanf-s04	us-ak/regulation/2026-07-01-ak-atap-regulations	us-ak/regulation/aac/title-7/chapter-45/7 AAC 45.465	Determining income of the sponsor of an alien, stepparent, and disqualified alie	Determining income of the sponsor of an alien, stepparent, and disqualified alien.
us-ak	tanf-s05	us-ak/regulation/2026-07-01-ak-atap-regulations	us-ak/regulation/aac/title-7/chapter-45/7 AAC 45.520	Qualifying standards.	it Size One Caretaker Relative Two-Parent Family 185 Percent Standard Need Standard 23$ 1,739$ 94034 1,9551,17445 2,1711,17456 2,3881,29167 2,6041,40878
us-ak	tanf-s06	us-ak/regulation/2026-07-01-ak-atap-regulations	us-ak/regulation/aac/title-7/chapter-45/7 AAC 45.523	Maximum payment levels.	Maximum payment levels.
us-ak	tanf-s07	us-ak/regulation/2026-07-01-ak-atap-regulations	us-ak/regulation/aac/title-7/chapter-45/7 AAC 45.520	Qualifying standards.	tivity: Assistance Unit Size One Caretaker Relative Two-Parent Family 185 Percent Standard Need Standard 23$ 1,739$ 94034 1,9551,17445 2,1711,17456 2,3
us-ak	tanf-s08	us-ak/regulation/2026-07-01-ak-atap-regulations	us-ak/regulation/aac/title-7/chapter-45/7 AAC 45.475	Child-student earned income disregard.	Child-student earned income disregard.
us-ak	tanf-s09	us-ak/regulation/2026-07-01-ak-atap-regulations	us-ak/regulation/aac/title-7/chapter-45/7 AAC 45.245	Child support cooperation.	Child support cooperation.
us-ak	tanf-s10	us-ak/regulation/2026-07-01-ak-atap-regulations	us-ak/regulation/aac/title-7/chapter-45/7 AAC 45.485	Incapacitated-parent and child care disregard.	Incapacitated-parent and child care disregard.
us-ak	tanf-s11	us-ak/regulation/2026-07-01-ak-atap-regulations	us-ak/regulation/aac/title-7/chapter-45/7 AAC 45.280	Resource limit.	Resource limit.
us-ak	tanf-s12	us-ak/regulation/2026-07-01-ak-atap-regulations	us-ak/regulation/aac/title-7/chapter-45/7 AAC 45.300	Exempt resources.	essary to produce self-employment income, including fish nets, traps, motor vehicles, transferable limited entry fishing permits issued under AS 16.43 (Re
us-ak	tanf-s13	us-ak/regulation/2026-07-01-ak-atap-regulations	us-ak/regulation/aac/title-7/chapter-45/7 AAC 45.450	Determining proration period of self-employment income.	Determining proration period of self-employment income.
us-ak	tanf-s14	us-ak/regulation/2026-07-01-ak-atap-regulations	us-ak/regulation/aac/title-7/chapter-45/7 AAC 45.610	Sixty-month time limit; extension.	Sixty-month time limit; extension.
us-ak	tanf-s15	us-ak/regulation/2026-07-01-ak-atap-regulations	us-ak/regulation/aac/title-7/chapter-45/7 AAC 45.260	Work activities.	Work activities.
us-ak	tanf-s17	us-ak/regulation/2026-07-01-ak-atap-regulations	us-ak/regulation/aac/title-7/chapter-45/7 AAC 45.250	Good cause for refusal to cooperate with child support services agency.	Good cause for refusal to cooperate with child support services agency.
us-ak	tanf-s19	us-ak/regulation/2026-07-01-ak-atap-regulations	us-ak/regulation/aac/title-7/chapter-45/7 AAC 45.257	Family self-sufficiency plan.	Family self-sufficiency plan.
us-ak	tanf-s20	us-ak/regulation/2026-07-01-ak-atap-regulations	us-ak/regulation/aac/title-7/chapter-45/7 AAC 45.227	Assistance to a minor parent.	Assistance to a minor parent.
us-ak	tanf-s21	us-ak/regulation/2026-07-01-ak-atap-regulations	us-ak/regulation/aac/title-7/chapter-45/7 AAC 45.266	Diversion payments.	Diversion payments.
us-ak	tanf-s23	us-ak/regulation/2026-07-01-ak-atap-regulations	us-ak/regulation/aac/title-7/chapter-45/7 AAC 45.220	State residency.	(a) An applicant must be a resident of the state to be eligible for ATAP benefits. (b) Except as otherwise provided, i
us-ak	tanf-s24	us-ak/regulation/2026-07-01-ak-atap-regulations	us-ak/regulation/aac/title-7/chapter-45/7 AAC 45.610	Sixty-month time limit; extension.	at the caretaker relative or pregnant woman is or recently has been a victim of domestic violence; and (2) as a result of domestic violence, the victim's physical, men
us-ak	tanf-s25	us-ak/regulation/2026-07-01-ak-atap-regulations	us-ak/regulation/aac/title-7/chapter-45/7 AAC 45.277	Review and redetermination.	Review and redetermination.
us-ak	tanf-s26	us-ak/regulation/2026-07-01-ak-atap-regulations	us-ak/regulation/aac/title-7/chapter-45/7 AAC 45.585	Administrative disqualification hearing.	strative disqualification hearing if the department and the office of administrative hearings receive the request for postponement not later than 10 calendar days
us-ak	tanf-s27	us-ak/regulation/2026-07-01-ak-atap-regulations	us-ak/regulation/aac/title-7/chapter-45/7 AAC 45.570	Collection of overpayment.	Collection of overpayment.
us-ak	tanf-s30	us-ak/regulation/2026-07-01-ak-atap-regulations	us-ak/regulation/aac/title-7/chapter-45/7 AAC 45.910	Transitional child care.	Transitional child care.
us-ak	tanf-s31	us-ak/regulation/2026-07-01-ak-atap-regulations	us-ak/regulation/aac/title-7/chapter-45/7 AAC 45.470	Income eligibility determinations; countable income.	Income eligibility determinations; countable income.
us-al	tanf-s01	us-al/policy/2026-07-02-al-tanf-official-documents	us-al/policy/dhr/public-assistance-payment-manual/appendix-n/section-2/page-19	Page 19	parental guidance and control over her own children. B. Consolidated Assistance Units When an individual is required to be in two or more assistance units
us-al	tanf-s03	us-al/policy/2026-07-02-al-tanf-official-documents	us-al/policy/dhr/public-assistance-payment-manual/appendix-n/section-2/page-15	Page 15	s involved. B. Persons Who May be Included in the Assistance Unit The caretaker relative retains the right to include or exclude certain other persons from th
us-al	tanf-s04	us-al/policy/2026-07-02-al-tanf-official-documents	us-al/policy/dhr/tanf/state-plan/2024/page-15	Page 15	le IV of Public Law 104—193, as amended. Recipients must be citizens, qualified aliens who entered the United States before August 22, 1996, qualified alie
us-al	tanf-s06	us-al/policy/2026-07-02-al-tanf-official-documents	us-al/policy/dhr/public-assistance-payment-manual/appendix-n/section-2/page-20	Page 20	ble earned and unearned income rounded to the nearest dollar from the payment standard. The difference represents the entitlement amount except when overpay
us-al	tanf-s08	us-al/policy/2026-07-02-al-tanf-official-documents	us-al/policy/dhr/public-assistance-payment-manual/appendix-n/section-2/page-44	Page 44	he worker will determine eligibility prospectively for April allowing earned income deductions. If eligibility is established, payment for April is determined prosp
us-al	tanf-s09	us-al/regulation/2026-07-02-al-admin-code-660-2-2	us-al/regulation/alabama-administrative-code/660/2/2/page-20	Page 20	n on the absent parent(s) at the request of the eligibility worker or Child Support Enforcement staff; completing and signing affidavits attesting to paternity of th
us-al	tanf-s13	us-al/policy/2026-07-02-al-tanf-official-documents	us-al/policy/dhr/public-assistance-payment-manual/appendix-n/section-2/page-105	Page 105	mes ineligible for SUP for any reason or begins to receive SSI. 12100 Grant Computation - General The purpose of the grant computation is to substantiate: A.
us-al	tanf-s14	us-al/policy/2026-07-02-al-tanf-official-documents	us-al/policy/dhr/public-assistance-payment-manual/appendix-n/section-2/page-1	Page 1	that individual appropriately in fields, "Does Member Qualify for Hardship Exemption?"; "If Yes, For What Reason"; "Verify Source" and "Date" on ZC94. D.
us-al	tanf-s15	us-al/policy/2026-07-02-al-tanf-official-documents	us-al/policy/dhr/tanf/state-plan/2024/page-4	Page 4	lready participating in such activities will be required to engage in work activities, as defined in state policy. NONCOMPLIANCE WITH PROGRAM REQUIREMENTS
us-al	tanf-s16	us-al/policy/2026-07-02-al-tanf-official-documents	us-al/policy/dhr/tanf/state-plan/2024/page-7	Page 7	a work activity when they are at risk of endangerment. Definitions a. Unsubsidized Employment: This is paid employment for either wages or salary where no part of
us-al	tanf-s17	us-al/regulation/2026-07-02-al-admin-code-660-2-2	us-al/regulation/alabama-administrative-code/660/2/2/page-16	Page 16	e unit will be disqualified for a twelve-month period. (4) Removal of sanction amount or regaining eligibility following penalties in (3) above and
us-al	tanf-s20	us-al/regulation/2026-07-02-al-admin-code-660-2-2	us-al/regulation/alabama-administrative-code/660/2/2/page-30	Page 30	(a) A minor parent is an individual who 1. is under 18 years of age and 2. is not marrie
us-al	tanf-s21	us-al/policy/2026-07-02-al-tanf-official-documents	us-al/policy/dhr/tanf/state-plan/2024/page-2	Page 2	elatives are excluded from the Family Assistance unit. (2) As needed, nonrecurrent short-term benefits to address a specific crisis situation or episode of need pu
us-al	tanf-s23	us-al/regulation/2026-07-02-al-admin-code-660-2-2	us-al/regulation/alabama-administrative-code/660/2/2/page-18	Page 18	evidence indicates that they are natural relatives. The child may be temporarily absent from the home to obtain Medicare care, attend school elsewhere becaus
us-al	tanf-s25	us-al/regulation/2026-07-02-al-admin-code-660-2-2	us-al/regulation/alabama-administrative-code/660/2/2/page-4	Page 4	An application is a specific written request on the designated agency application form, which has been completed, dated and signed by the applicant, to have
us-al	tanf-s26	us-al/policy/2026-07-02-al-tanf-official-documents	us-al/policy/dhr/public-assistance-payment-manual/appendix-n/section-2/page-80	Page 80	ept as set out in “2” below, when aid is being terminated or reduced, advance notice must be mailed at least 10 days before the effective date of action.
us-al	tanf-s27	us-al/regulation/2026-07-02-al-admin-code-660-2-2	us-al/regulation/alabama-administrative-code/660/2/2/page-10	Page 10	1. A non-fraud overpayment is defined as an overpayment due to continued or unreduced benefits w
us-al	tanf-s28	us-al/policy/2026-07-02-al-tanf-official-documents	us-al/policy/dhr/public-assistance-payment-manual/appendix-n/section-2/page-16	Page 16	or the five-year bar from assistance.[11] f. Individuals who are: (1) fleeing to avoid prosecution, or custody or confinement after conviction of a felony,
us-al	tanf-s29	us-al/policy/2026-07-02-al-tanf-official-documents	us-al/policy/dhr/tanf/state-plan/2024/page-12	Page 12	sale (POS) device physically located in liquor, wine or beer stores, casinos or other gambling establishments, strip clubs, tattoo or body piercin
us-al	tanf-s30	us-al/policy/2026-07-02-al-tanf-official-documents	us-al/policy/dhr/tanf/state-plan/2024/page-25	Page 25	and/or system activities as follows: Work Program (Section (a)1. B.): Supportive services to include childcare, transportation, other work and training service
us-al	tanf-s31	us-al/policy/2026-07-02-al-tanf-official-documents	us-al/policy/dhr/public-assistance-payment-manual/appendix-n/section-2/page-22	Page 22	t 20% work expense and child care expense. Subtract remainder and any unearned income from the payment standard. If there is no deficit, deny the applicati
us-ar	tanf-s01	us-ar/policy/2026-07-02-ar-tea-official-documents	us-ar/policy/dhs/tea/manual/2024/page-54	Page 54	citizenship area of the Client Profile tab for each member of the TEA Budget Unit. The individual must be given the status options listed on the Client
us-ar	tanf-s03	us-ar/policy/2026-07-02-ar-tea-official-documents	us-ar/policy/dhs/tea/manual/2024/page-43	Page 43	LICY MANUAL, SECTION 2000 2200 Eligibility Determination 2210 Age and Relationship Requirement 2210 Age and Relationship Requirement 07/01/97 The non-SSI child(re
us-ar	tanf-s04	us-ar/policy/2026-07-02-ar-tea-official-documents	us-ar/policy/dhs/tea/manual/2024/page-47	Page 47	ly admitted for permanent residence prior to August 22, 1996; or 3. A qualified alien for whom federal law requires benefits under Title IV-A of the Social
us-ar	tanf-s06	us-ar/policy/2026-07-02-ar-tea-official-documents	us-ar/policy/dhs/tea/manual/2024/page-91	Page 91	established, including income eligibility, then the family’s monthly payment amount is determined. The payment amounts are based on nine payment levels
us-ar	tanf-s07	us-ar/policy/2026-07-02-ar-tea-official-documents	us-ar/policy/dhs/tea/manual/2024/page-178	Page 178	ived 3 paychecks in June. The total of those 3 paychecks exceeded the 185% gross income limit. Since ineligibility exists for the month of June,
us-ar	tanf-s08	us-ar/policy/2026-07-02-ar-tea-official-documents	us-ar/policy/dhs/tea/manual/2024/page-161	Page 161	involved, both the 20% and the applicable Work incentive (50% or 60%) earned income deductions will be allowed when determining income eligibility for the overpayme
us-ar	tanf-s09	us-ar/policy/2026-07-02-ar-tea-official-documents	us-ar/policy/dhs/tea/manual/2024/page-30	Page 30	N 2000 2100 TEA Application Process 2142 Cooperation in Establishing Paternity and Obtaining Support 12/06/11 An individual may be freed from the r
